Name,Type,Constraint_Type,Constraint_Value,Constraint_Unit,Constraint_Priority,Evaluation_Type,Objective_Value,Objective_Unit,Objective_Type
PTV60,PTV,D,95,%,1,>=,0.95,%,Mandatory
PTV60,PTV,D,99,%,2,>,0.95,%,Mandatory
PTV60,PTV,D,99,%,3,>=,0.99,%,Optimal
PTV60,PTV,D,Max,Gy,4,<,64.2,Gy,Mandatory
CTV60,CTV,D,Min,Gy,1,,,Gy,
CTV60,CTV,D,99,%,2,>=,0.95,%,Mandatory
PTV44,PTV,D,95,%,1,>=,0.95,%,Mandatory
PTV44,PTV,D,99,%,2,,,,%,
CTV44,CTV,D,Min,Gy,1,,,Gy,
CTV44,CTV,D,99,%,2,>=,0.95,%,Mandatory
PTV54,PTV,D,95,%,1,>=,0.95,%,Mandatory
CTV54,CTV,D,99,%,1,>=,0.95,%,Mandatory
GTV_Node,GTV,D,Min,Gy,1,,,Gy,
Bladder,Avoidance,V,59,Gy,1,<=,0.02,%,Optimal
Bladder,Avoidance,V,59,Gy,1,<=,0.236,cc,Optimal
Bladder,Avoidance,V,59,Gy,2,<=,0.03,%,Mandatory
Bladder,Avoidance,V,56,Gy,3,<=,0.08,%,Optimal
Bladder,Avoidance,V,56,Gy,3,<=,0.381,cc,Optimal
Bladder,Avoidance,V,56,Gy,3,<=,0.10,%,Mandatory
Bladder,Avoidance,V,53,Gy,4,<=,0.25,%,Optimal
Bladder,Avoidance,V,53,Gy,4,<=,0.30,%,Mandatory
Bladder,Avoidance,V,47,Gy,5,<=,0.35,%,Optimal
Bladder,Avoidance,V,47,Gy,5,<=,0.45,%,Mandatory
Bladder,Avoidance,V,40,Gy,6,<=,0.45,%,Optimal
Bladder,Avoidance,V,40,Gy,6,<=,0.55,%,Mandatory
Bladder,Avoidance,V,32,Gy,7,<=,0.55,%,Optimal
Bladder,Avoidance,V,32,Gy,7,<=,0.65,%,Mandatory
Bladder,Avoidance,V,24,Gy,8,<=,0.70,%,Optimal
Bladder,Avoidance,V,24,Gy,8,<=,0.80,%,Mandatory
Bladder,Avoidance,V,15,Gy,9,<=,0.80,%,Optimal
Bladder,Avoidance,V,15,Gy,9,<=,0.90,%,Mandatory
Bladder,Avoidance,V,10,Gy,10,<=,0.90,%,Optimal
Bladder,Avoidance,V,10,Gy,10,<=,0.95,%,Mandatory
Anorectum,Avoidance,V,59,Gy,1,<=,0.02,%,Optimal
Anorectum,Avoidance,V,59,Gy,2,<=,0.03,%,Mandatory
Anorectum,Avoidance,V,56,Gy,3,<=,0.08,%,Optimal
Anorectum,Avoidance,V,56,Gy,3,<=,0.12,%,Mandatory
Anorectum,Avoidance,V,53,Gy,4,<=,0.20,%,Optimal
Anorectum,Avoidance,V,53,Gy,4,<=,0.097,cc,Optimal
Anorectum,Avoidance,V,53,Gy,4,<=,0.25,%,Mandatory
Anorectum,Avoidance,V,47,Gy,5,<=,0.35,%,Optimal
Anorectum,Avoidance,V,47,Gy,5,<=,0.159,cc,Optimal
Anorectum,Avoidance,V,47,Gy,5,<=,0.45,%,Mandatory
Anorectum,Avoidance,V,40,Gy,6,<=,0.45,%,Optimal
Anorectum,Avoidance,V,40,Gy,6,<=,0.55,%,Mandatory
Anorectum,Avoidance,V,32,Gy,7,<=,0.55,%,Optimal
Anorectum,Avoidance,V,32,Gy,7,<=,0.65,%,Mandatory
Anorectum,Avoidance,V,24,Gy,8,<=,0.65,%,Optimal
Anorectum,Avoidance,V,24,Gy,8,<=,0.75,%,Mandatory
Anorectum,Avoidance,V,15,Gy,9,<=,0.80,%,Optimal
Anorectum,Avoidance,V,15,Gy,9,<=,0.90,%,Mandatory
Anorectum,Avoidance,V,10,Gy,10,<=,0.90,%,Optimal
Anorectum,Avoidance,V,10,Gy,10,<=,0.95,%,Mandatory
Bowel_Bag,Avoidance,V,45,Gy,2,<,90,cc,Mandatory
Right_Femoral_Head,Avoidance,D,Max,Gy,3,<,40,Gy,Mandatory
Left_Femoral_Head,Avoidance,D,Max,Gy,3,<,40,Gy,Mandatory
Penile_Bulb,Avoidance,V,47,Gy,4,<=,0.50,%,Mandatory
External_Genitalia,Avoidance,V,40,Gy,5,<,0.05,%,Mandatory
